Country_Region,Population_Size,Tourism,Date_FirstFatality,Date_FirstConfirmedCase,Mean_Age,Confirmed,Deaths,Mortality Ratio,Latitude,Longitude
Monaco,38682,347000,2020-03-30T00:00:00.000Z,2020-03-01T00:00:00.000Z,37.0,199.0,1.0,0.5,43.750298,7.412841
Mongolia,3170208,529000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-11T00:00:00.000Z,27.1,313.0,0.0,0.0,46.862496,103.846656
Montenegro,622227,2077000,2020-03-24T00:00:00.000Z,2020-03-18T00:00:00.000Z,37.7,9428.0,151.0,1.6,42.708678000000006,19.37439
Morocco,36029138,12289000,2020-03-11T00:00:00.000Z,2020-03-03T00:00:00.000Z,27.9,107743.0,1918.0,1.78,31.791702,-7.09262
Mozambique,29495962,2743000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-23T00:00:00.000Z,17.2,7262.0,49.0,0.67,-18.665695,35.529562
Namibia,2448255,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-15T00:00:00.000Z,21.0,10663.0,117.0,1.1,-22.95764,18.49041
Nepal,28087871,1173000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-01-26T00:00:00.000Z,23.2,67804.0,436.0,0.64,28.394857,84.12400799999998
Netherlands,17231624,18780000,2020-03-07T00:00:00.000Z,2020-02-28T00:00:00.000Z,42.1,105304.0,6344.0,6.02,52.132633,5.291266
New Zealand,4841000,3686000,2020-03-30T00:00:00.000Z,2020-02-29T00:00:00.000Z,37.3,1827.0,25.0,1.37,-40.900557,174.88597099999996
Nicaragua,6465513,1256000,2020-03-28T00:00:00.000Z,2020-03-20T00:00:00.000Z,25.2,5073.0,149.0,2.94,12.865416,-85.207229
Niger,22442948,157000,2020-03-26T00:00:00.000Z,2020-03-21T00:00:00.000Z,14.9,1193.0,69.0,5.78,17.607789,8.081666
Nigeria,195874740,14000,2020-03-24T00:00:00.000Z,2020-02-29T00:00:00.000Z,17.9,57724.0,1102.0,1.91,9.081999,8.675277000000001
Norway,5311916,5688000,2020-03-15T00:00:00.000Z,2020-02-27T00:00:00.000Z,39.2,13277.0,267.0,2.01,60.472024,8.468946
Oman,4829483,2301000,2020-04-01T00:00:00.000Z,2020-02-25T00:00:00.000Z,29.0,95339.0,875.0,0.92,21.512583,55.92325500000001
Pakistan,212215030,14000,2020-03-20T00:00:00.000Z,2020-02-27T00:00:00.000Z,22.5,308217.0,6437.0,2.09,30.375321000000003,69.345116
Panama,4176873,1785000,2020-03-12T00:00:00.000Z,2020-03-11T00:00:00.000Z,28.4,107990.0,2291.0,2.12,8.537981,-80.782127
Papua New Guinea,8606316,140000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-21T00:00:00.000Z,21.7,527.0,7.0,1.33,-6.314993,143.95555
Paraguay,6956071,1181000,2020-03-22T00:00:00.000Z,2020-03-09T00:00:00.000Z,24.9,35571.0,727.0,2.04,-23.442503,-58.44383199999999
Peru,31989256,4419000,2020-03-21T00:00:00.000Z,2020-03-07T00:00:00.000Z,27.5,776546.0,31568.0,4.07,-9.189967,-75.015152
Philippines,106651922,7168000,2020-02-03T00:00:00.000Z,2020-01-31T00:00:00.000Z,24.1,294591.0,5091.0,1.73,12.879721,121.774017
Poland,37974750,19622000,2020-03-13T00:00:00.000Z,2020-03-05T00:00:00.000Z,39.7,81673.0,2344.0,2.87,51.919438,19.145136
Portugal,10283822,16186000,2020-03-18T00:00:00.000Z,2020-03-03T00:00:00.000Z,43.9,70465.0,1928.0,2.74,39.399872,-8.224454
Qatar,2781677,1819300,2020-03-29T00:00:00.000Z,2020-03-01T00:00:00.000Z,31.3,124175.0,212.0,0.17,25.354826,51.183884
Romania,19466145,11720000,2020-03-23T00:00:00.000Z,2020-02-27T00:00:00.000Z,41.3,116415.0,4550.0,3.91,45.943161,24.96676
Russia,144478050,24551000,2020-03-20T00:00:00.000Z,2020-02-01T00:00:00.000Z,38.7,1117487.0,19720.0,1.76,61.52401,105.318756
Rwanda,12301939,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-15T00:00:00.000Z,19.4,4779.0,27.0,0.56,-1.940278,29.873888
Saint Kitts and Nevis,52441,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-26T00:00:00.000Z,37.0,19.0,0.0,0.0,17.357822,-62.782998
Saint Lucia,181889,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-15T00:00:00.000Z,32.6,27.0,0.0,0.0,13.909444,-60.97889300000001
Saint Vincent and the Grenadines,110210,14000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-15T00:00:00.000Z,29.8,64.0,0.0,0.0,12.984305,-61.287228000000006
San Marino,33785,84000,2020-03-04T00:00:00.000Z,2020-02-28T00:00:00.000Z,37.0,723.0,42.0,5.81,43.94236,12.457777
Saudi Arabia,33699947,15334000,2020-03-25T00:00:00.000Z,2020-03-03T00:00:00.000Z,29.8,331359.0,4569.0,1.38,23.885942,45.079162
Senegal,15854360,14000,2020-04-02T00:00:00.000Z,2020-03-03T00:00:00.000Z,18.3,14795.0,303.0,2.05,14.497401000000002,-14.452362
Serbia,6982604,1711000,2020-03-21T00:00:00.000Z,2020-03-07T00:00:00.000Z,40.0,33080.0,744.0,2.25,44.016521,21.005859
Seychelles,96762,362000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-15T00:00:00.000Z,34.6,143.0,0.0,0.0,-4.679574,55.491977
Sierra Leone,7650154,57000,2020-04-24T00:00:00.000Z,2020-04-01T00:00:00.000Z,18.3,2183.0,72.0,3.3,8.460555000000001,-11.779889
Singapore,5638676,14673000,2020-03-22T00:00:00.000Z,2020-01-24T00:00:00.000Z,40.0,57639.0,27.0,0.05,1.352083,103.819836
Slovakia,5450000,14000,2020-03-19T00:00:00.000Z,2020-03-07T00:00:00.000Z,39.2,7269.0,41.0,0.56,48.669026,19.699024
Slovenia,2073894,4425000,2020-03-15T00:00:00.000Z,2020-03-06T00:00:00.000Z,43.0,4694.0,143.0,3.05,46.151241,14.995463
Somalia,15008154,14000,2020-04-09T00:00:00.000Z,2020-03-17T00:00:00.000Z,16.5,3465.0,98.0,2.83,5.152149,46.199616
South Africa,57779622,10472000,2020-03-28T00:00:00.000Z,2020-03-06T00:00:00.000Z,26.1,665188.0,16206.0,2.44,-30.559482,22.937506
Spain,46796540,82773000,2020-03-04T00:00:00.000Z,2020-02-02T00:00:00.000Z,43.2,693556.0,31034.0,4.47,40.463667,-3.74922
Sri Lanka,21670000,2334000,2020-03-29T00:00:00.000Z,2020-01-28T00:00:00.000Z,32.3,3324.0,13.0,0.39,7.873054,80.77179699999998
Sudan,41801533,836000,2020-03-14T00:00:00.000Z,2020-03-14T00:00:00.000Z,18.9,13578.0,836.0,6.16,12.862807,30.217636
Suriname,575991,14000,2020-04-04T00:00:00.000Z,2020-03-15T00:00:00.000Z,28.4,4779.0,101.0,2.11,3.919305000000001,-56.02778299999999
Sweden,10175214,7440000,2020-03-12T00:00:00.000Z,2020-02-01T00:00:00.000Z,40.9,89756.0,5876.0,6.55,60.128161,18.643501
Switzerland,8513227,10362000,2020-03-06T00:00:00.000Z,2020-02-26T00:00:00.000Z,42.2,51101.0,2060.0,4.03,46.818188,8.227511999999999
Syria,16906283,14000,2020-03-30T00:00:00.000Z,2020-03-23T00:00:00.000Z,37.0,3924.0,181.0,4.61,34.802075,38.99681500000001
Tanzania,56318348,1378000,2020-04-01T00:00:00.000Z,2020-03-17T00:00:00.000Z,37.0,509.0,21.0,4.13,-6.369028,34.888822
Thailand,69428524,38178000,2020-03-02T00:00:00.000Z,2020-01-23T00:00:00.000Z,37.8,3516.0,59.0,1.68,15.870032,100.992541
Timor-Leste,1267972,75000,2019-12-31T00:00:00.000ZT00:00:00.000Z,2020-03-23T00:00:00.000Z,17.4,27.0,0.0,0.0,-8.874217,125.727539
